model,vectorizer,accuracy,f1_score,precision,recall,balanced_accuracy,mcc,cv_f1_mean,status
LogisticRegression_Best,tfidf_bigram_optimized,0.7570422535211268,0.7569455539205382,0.7569240819612693,0.7570422535211268,0.7561024111359682,0.5126127302135634,0.748366683299876,success
RidgeClassifier_Best,tfidf_bigram_optimized,0.7623239436619719,0.7623438795215568,0.7623685445134434,0.7623239436619719,0.7618319661943823,0.5235760914198687,0.7506469724391334,success
BaggingSGD_Best,tfidf_bigram_optimized,0.7464788732394366,0.746582755988342,0.7468532157806876,0.7464788732394366,0.7463832960477256,0.49236288052333727,0.7471026109147036,success
RandomForest_Best,tfidf_bigram_optimized,0.7253521126760564,0.7254339830717212,0.7255877986025293,0.7253521126760564,0.7250310713397963,0.44979388925526587,0.7383776126112981,success
VotingEnsemble_Best,tfidf_bigram_optimized,,0.0,,,,,,failed
StackingEnsemble_Publication,tfidf_bigram_optimized,0.7552816901408451,0.7552109365794567,0.7551823877679456,0.7552816901408451,0.7544245587869749,0.5091434503561688,0.7571060463441096,success
XGBoost_Best,tfidf_bigram_optimized,0.7411971830985915,0.7410643749601659,0.7410466598081547,0.7411971830985915,0.7401317424807358,0.48075668383433606,0.7226346332336228,success
LightGBM_Best,tfidf_bigram_optimized,0.7447183098591549,0.744866409432755,0.745572951640928,0.7447183098591549,0.7450534427044495,0.4895383386709986,0.7113616843253099,success
LogisticRegression_Best,feature_union_best,0.7323943661971831,0.732437588993901,0.7324989783694216,0.7323943661971831,0.7319164802386279,0.46368314920895465,0.7331100724023937,success
RidgeClassifier_Best,feature_union_best,0.6919014084507042,0.6920418114359255,0.6940750348980631,0.6919014084507042,0.6929778772060651,0.3856036672105408,0.6935678185910296,success
BaggingSGD_Best,feature_union_best,0.7429577464788732,0.7429991766356617,0.7461597886204349,0.7429577464788732,0.7445935868754661,0.48902917344224156,0.7348890096137857,success
RandomForest_Best,feature_union_best,0.7288732394366197,0.7289843362653102,0.72925806776334,0.7288732394366197,0.7287347750434999,0.4570947565149061,0.730710425805794,success
VotingEnsemble_Best,feature_union_best,,0.0,,,,,,failed
StackingEnsemble_Publication,feature_union_best,0.7253521126760564,0.7253521126760564,0.7253521126760564,0.7253521126760564,0.7246830723340791,0.4493661446681581,0.7381802643264752,success
XGBoost_Best,feature_union_best,0.721830985915493,0.721969110456972,0.7223935276256896,0.721830985915493,0.7218493661446681,0.44325822711020774,0.7203038106119246,success
LightGBM_Best,feature_union_best,0.7394366197183099,0.7395918093432543,0.7404068811021163,0.7394366197183099,0.739845886154611,0.47912045542070464,0.7176594420507868,success
LogisticRegression_Best,count_bigram_optimized,0.7359154929577465,0.7359154929577465,0.7359154929577465,0.7359154929577465,0.7352721849366144,0.47054436987322895,0.7370627812450197,success
RidgeClassifier_Best,count_bigram_optimized,0.698943661971831,0.699125721440332,0.7002825021544555,0.698943661971831,0.6995152870991797,0.3985479131736431,0.6979174519710579,success
BaggingSGD_Best,count_bigram_optimized,0.7253521126760564,0.7251068913480885,0.7307215542920749,0.7253521126760564,0.7278150633855331,0.4564477678536365,0.7265585303298,success
RandomForest_Best,count_bigram_optimized,0.7306338028169014,0.7306095267683895,0.7305897838073435,0.7306338028169014,0.7298906288839175,0.4598641390872543,0.7423819417181443,success
VotingEnsemble_Best,count_bigram_optimized,,0.0,,,,,,failed
StackingEnsemble_Publication,count_bigram_optimized,0.727112676056338,0.7271762369658309,0.7272803706200698,0.727112676056338,0.7267089236887895,0.4532066705008746,0.7382866162516059,success
XGBoost_Best,count_bigram_optimized,0.7165492957746479,0.7166504983111228,0.7168627339588259,0.7165492957746479,0.7162938105891126,0.4322788074049221,0.7248603339297109,success
LightGBM_Best,count_bigram_optimized,,0.0,,,,,,failed
