model,vectorizer,accuracy,precision,recall,f1_score,balanced_accuracy,matthews_corrcoef,training_time,roc_auc
LogisticRegression,tfidf_unigram,0.5404929577464789,0.6820332249909714,0.5404929577464789,0.4010698726887149,0.5170146656723837,0.11363843967540437,3.188875913619995,0.5250062142679592
LogisticRegression_L1,tfidf_unigram,0.477112676056338,0.7510060362173038,0.477112676056338,0.3101881327885318,0.5016778523489933,0.039974424549814924,0.07340812683105469,0.512670892368879
RidgeClassifier,tfidf_unigram,0.5404929577464789,0.6820332249909714,0.5404929577464789,0.4010698726887149,0.5170146656723837,0.11363843967540437,0.012993097305297852,0.5170146656723839
SGDClassifier,tfidf_unigram,0.4753521126760563,0.22595963102559014,0.4753521126760563,0.30631281723755416,0.5,0.0,0.01839733123779297,0.5
MultinomialNB,tfidf_unigram,0.5387323943661971,0.7070649704679691,0.5387323943661971,0.3946247578931533,0.5149888143176734,0.11383352640017032,0.009896039962768555,0.5180524484215759
ComplementNB,tfidf_unigram,0.5369718309859155,0.6677319507053747,0.5369718309859155,0.39371457146031164,0.5133109619686801,0.09647293964897795,0.009004592895507812,0.5180524484215759
BernoulliNB,tfidf_unigram,0.5387323943661971,0.7070649704679691,0.5387323943661971,0.3946247578931533,0.5149888143176734,0.11383352640017032,0.009208202362060547,0.5180027342779022
RandomForest,tfidf_unigram,0.5422535211267606,0.7159919951362853,0.5422535211267606,0.4020032297025965,0.5186925180213771,0.12982543875085958,0.2271890640258789,0.5280698483718618
ExtraTrees,tfidf_unigram,0.5422535211267606,0.7159919951362853,0.5422535211267606,0.4020032297025965,0.5186925180213771,0.12982543875085958,0.16190075874328613,0.5265722097936864
GradientBoosting,tfidf_unigram,0.5422535211267606,0.7159919951362853,0.5422535211267606,0.4020032297025965,0.5186925180213771,0.12982543875085958,0.07797813415527344,0.5232724335073328
LinearSVC,tfidf_unigram,0.5404929577464789,0.6820332249909714,0.5404929577464789,0.4010698726887149,0.5170146656723837,0.11363843967540437,0.00980520248413086,0.5170146656723839
KNN,tfidf_unigram,0.5352112676056338,0.5641133043614849,0.5352112676056338,0.4160118606375093,0.5131991051454139,0.058940353073498236,0.04866194725036621,0.5167163808103407
linear_stacking,tfidf_unigram,0.5404929577464789,0.6820332249909714,0.5404929577464789,0.4010698726887149,0.5170146656723837,0.11363843967540437,0.02719902992248535,0.5170146656723839
