model,vectorizer,accuracy,f1_score,precision,recall,balanced_accuracy,mcc,training_time,status,roc_auc
LogisticRegression,ultimate_feature_union,0.5052816901408451,0.41912493743354645,0.4698797695758368,0.5052816901408451,0.4864156102411136,-0.04206335208231568,0.03411602973937988,success,
LogisticRegression_L1,ultimate_feature_union,0.5246478873239436,0.39262449330796173,0.5134525099313831,0.5246478873239436,0.5019139945314441,0.009907248140381212,0.05118584632873535,success,
LogisticRegression_L2,ultimate_feature_union,0.5052816901408451,0.41912493743354645,0.4698797695758368,0.5052816901408451,0.4864156102411136,-0.04206335208231568,0.009364843368530273,success,
RidgeClassifier,ultimate_feature_union,0.5052816901408451,0.41912493743354645,0.4698797695758368,0.5052816901408451,0.4864156102411136,-0.04206335208231568,0.016836166381835938,success,
SGDClassifier,ultimate_feature_union,0.5105633802816901,0.4166000591814592,0.4775043091544534,0.5105633802816901,0.49092716877951775,-0.029927039498830722,0.015917062759399414,success,
MultinomialNB,ultimate_feature_union,0.5017605633802817,0.4071261654665264,0.45536126753528394,0.5017605633802817,0.48218990802883416,-0.058304392547737824,0.007946968078613281,success,
ComplementNB,ultimate_feature_union,0.477112676056338,0.3762205767678092,0.49248882192219073,0.477112676056338,0.49715386527467065,-0.00977313537535893,0.007192850112915039,success,
BernoulliNB,ultimate_feature_union,0.5017605633802817,0.4091396930116097,0.4571087891204048,0.5017605633802817,0.4823639075316928,-0.056892298476696454,0.006415843963623047,success,
LinearSVC,ultimate_feature_union,0.5052816901408451,0.41912493743354645,0.4698797695758368,0.5052816901408451,0.4864156102411136,-0.04206335208231568,0.010844945907592773,success,
SVC_RBF,ultimate_feature_union,0.5052816901408451,0.424662316229518,0.4731949048657519,0.5052816901408451,0.4869376087496893,-0.03898330610139987,0.49227333068847656,success,
RandomForest,ultimate_feature_union,0.5105633802816901,0.39944408797820535,0.46470266465714444,0.5105633802816901,0.48953517275664926,-0.03994243671524863,0.4110982418060303,success,
ExtraTrees,ultimate_feature_union,0.5246478873239436,0.39262449330796173,0.5134525099313831,0.5246478873239436,0.5019139945314441,0.009907248140381212,0.28693699836730957,success,
GradientBoosting,ultimate_feature_union,0.5052816901408451,0.4113160865586358,0.4644488254156151,0.5052816901408451,0.48571961222967935,-0.0467493000958484,0.2191910743713379,success,
AdaBoost,ultimate_feature_union,0.5264084507042254,0.37110482555346863,0.5610474570334976,0.5264084507042254,0.502199850857569,0.023521989312741312,0.19464707374572754,success,
BaggingLR,ultimate_feature_union,0.5088028169014085,0.40935651954522423,0.4693178856985105,0.5088028169014085,0.4887273179219488,-0.03870844447795,16.321518182754517,success,
BaggingSGD,ultimate_feature_union,0.5123239436619719,0.407184214510824,0.4751749563004687,0.5123239436619719,0.4917350236142182,-0.02996358933506846,0.08194613456726074,success,
VotingClassifier,ultimate_feature_union,0.5052816901408451,0.41912493743354645,0.4698797695758368,0.5052816901408451,0.4864156102411136,-0.04206335208231568,0.3767728805541992,success,
StackingClassifier,ultimate_feature_union,0.5105633802816901,0.4145740458047841,0.47629330671529174,0.5105633802816901,0.49075316927665924,-0.030980179026106565,0.19923901557922363,success,
CalibratedRF,ultimate_feature_union,0.522887323943662,0.413447540940861,0.5076427696553739,0.522887323943662,0.501802137708178,0.006955218016325092,1.116373062133789,success,
CalibratedSVC,ultimate_feature_union,0.5211267605633803,0.4146239034778978,0.5022126164342054,0.5211267605633803,0.5002982848620432,0.0011144465433697592,0.03855299949645996,success,
OvR_MultinomialNB,ultimate_feature_union,0.5017605633802817,0.4071261654665264,0.45536126753528394,0.5017605633802817,0.48218990802883416,-0.058304392547737824,0.05491185188293457,success,
MLPClassifier,ultimate_feature_union,0.5052816901408451,0.4133153842270753,0.46593625516151843,0.5052816901408451,0.48589361173253787,-0.04550582013463741,9.607752084732056,success,
KNN,ultimate_feature_union,0.5070422535211268,0.42580846340138134,0.4765092571558382,0.5070422535211268,0.4886154610986826,-0.03417656169592834,0.07095599174499512,success,
XGBoost,ultimate_feature_union,0.5211267605633803,0.3854713837766962,0.48867842089030544,0.5211267605633803,0.4982102908277405,-0.009698335337733349,0.6760330200195312,success,
