model,vectorizer,accuracy,f1_score,precision,recall,balanced_accuracy,mcc,training_time,status,error
LogisticRegression,custom_stress,0.5052816901408451,0.41912493743354645,0.4698797695758368,0.5052816901408451,0.4864156102411136,-0.04206335208231568,3.279798984527588,success,
bagging_sgd,custom_stress,0.5105633802816901,0.4082975179508423,0.4721001685790418,0.5105633802816901,0.49023117076808354,-0.03443599574990489,3.3423659801483154,success,
bagging_lr,custom_stress,0.5070422535211268,0.4144111227255253,0.4696822668293224,0.5070422535211268,0.4875714640815312,-0.0403861542996686,0.05909991264343262,success,
RidgeClassifier,custom_stress,0.5052816901408451,0.41912493743354645,0.4698797695758368,0.5052816901408451,0.4864156102411136,-0.04206335208231568,0.007573127746582031,success,
SGDClassifier,custom_stress,0.5105633802816901,0.4166000591814592,0.4775043091544534,0.5105633802816901,0.49092716877951775,-0.029927039498830722,0.005434989929199219,success,
LinearSVC,custom_stress,0.5052816901408451,0.41912493743354645,0.4698797695758368,0.5052816901408451,0.4864156102411136,-0.04206335208231568,0.00662994384765625,success,
RandomForest,custom_stress,0.5088028169014085,0.4006830262941841,0.46199472167613703,0.5088028169014085,0.4880313199105145,-0.04425977148832524,0.17727184295654297,success,
GradientBoosting,custom_stress,0.5052816901408451,0.4113160865586358,0.4644488254156151,0.5052816901408451,0.48571961222967935,-0.0467493000958484,0.09643387794494629,success,
stress_focused_ensemble,custom_stress,0.5052816901408451,0.4113160865586358,0.4644488254156151,0.5052816901408451,0.48571961222967935,-0.0467493000958484,0.2107992172241211,success,
voting_soft,custom_stress,0.5088028169014085,0.41749107544254094,0.47476372120263205,0.5088028169014085,0.48942331593338306,-0.034119341792578355,0.18987202644348145,success,
linear_stacking,custom_stress,0.5105633802816901,0.4166000591814592,0.4775043091544534,0.5105633802816901,0.49092716877951775,-0.029927039498830722,0.05757713317871094,success,
calibrated_rf,custom_stress,0.5246478873239436,0.41221439307783464,0.5138586234387458,0.5246478873239436,0.5033059905543127,0.013215752144927005,0.44635796546936035,success,
XGBoost,custom_stress,0.5211267605633803,0.3854713837766962,0.48867842089030544,0.5211267605633803,0.4982102908277405,-0.009698335337733349,0.07284188270568848,success,
LightGBM,custom_stress,0.4753521126760563,0.30631281723755416,0.22595963102559014,0.4753521126760563,0.5,0.0,0.020409107208251953,success,
LogisticRegression,tfidf_bigram,0.5475352112676056,0.4349473996822269,0.6137332918496536,0.5475352112676056,0.5258140691026597,0.11021548526413043,0.016108989715576172,success,
bagging_sgd,tfidf_bigram,0.545774647887324,0.41961896027205237,0.6488593566058354,0.545774647887324,0.523092219736515,0.11953030548589799,0.0400998592376709,success,
bagging_lr,tfidf_bigram,0.545774647887324,0.42209517710265665,0.6381265534382767,0.545774647887324,0.5232662192393737,0.11551563112560406,0.04172706604003906,success,
RidgeClassifier,tfidf_bigram,0.5475352112676056,0.4349473996822269,0.6137332918496536,0.5475352112676056,0.5258140691026597,0.11021548526413043,0.004357814788818359,success,
SGDClassifier,tfidf_bigram,0.5475352112676056,0.4231068906078139,0.6540731023556577,0.5475352112676056,0.5249440715883669,0.1263936294207502,0.0052950382232666016,success,
LinearSVC,tfidf_bigram,0.5475352112676056,0.4349473996822269,0.6137332918496536,0.5475352112676056,0.5258140691026597,0.11021548526413043,0.004380702972412109,success,
RandomForest,tfidf_bigram,0.5475352112676056,0.4231068906078139,0.6540731023556577,0.5475352112676056,0.5249440715883669,0.1263936294207502,0.1647801399230957,success,
GradientBoosting,tfidf_bigram,0.545774647887324,0.42209517710265665,0.6381265534382767,0.545774647887324,0.5232662192393737,0.11551563112560406,0.0630030632019043,success,
stress_focused_ensemble,tfidf_bigram,0.5475352112676056,0.4231068906078139,0.6540731023556577,0.5475352112676056,0.5249440715883669,0.1263936294207502,0.21080398559570312,success,
voting_soft,tfidf_bigram,0.551056338028169,0.4300236818642563,0.6633789847742069,0.551056338028169,0.5286477752920706,0.13948933124689025,0.15014219284057617,success,
linear_stacking,tfidf_bigram,0.5475352112676056,0.4349473996822269,0.6137332918496536,0.5475352112676056,0.5258140691026597,0.11021548526413043,0.04392600059509277,success,
calibrated_rf,tfidf_bigram,0.5475352112676056,0.4231068906078139,0.6540731023556577,0.5475352112676056,0.5249440715883669,0.1263936294207502,0.35500288009643555,success,
