model,vectorizer,accuracy,f1_score,precision,recall,balanced_accuracy,mcc,training_time,status
LogisticRegression,weighted_tfidf,0.75,0.7501396214706795,0.7507440476190476,0.75,0.7502609992542879,0.4999630681293078,2.8320939540863037,success
bagging_sgd,weighted_tfidf,0.7077464788732394,0.7044181170941735,0.7274166008392174,0.7077464788732394,0.7136465324384788,0.43732199599242383,3.5001730918884277,success
bagging_lr,weighted_tfidf,0.7411971830985915,0.7411738590519821,0.7411551341093521,0.7411971830985915,0.7404797414864529,0.4810461819321665,0.05167722702026367,success
RidgeClassifier,weighted_tfidf,0.75,0.7501396214706795,0.7507440476190476,0.75,0.7502609992542879,0.4999630681293078,0.02235889434814453,success
SGDClassifier,weighted_tfidf,0.7253521126760564,0.7248512474976399,0.7323509869312026,0.7253521126760564,0.7283370618941089,0.4583520083490642,0.013659954071044922,success
LinearSVC,weighted_tfidf,0.7464788732394366,0.746582755988342,0.7468532157806876,0.7464788732394366,0.7463832960477256,0.49236288052333727,0.011140108108520508,success
RandomForest,weighted_tfidf,0.7112676056338029,0.711213907959567,0.7151408450704225,0.7112676056338029,0.713174248073577,0.42650755173789395,0.3797602653503418,success
GradientBoosting,weighted_tfidf,0.698943661971831,0.6990137840074649,0.6991228990632189,0.698943661971831,0.6984712900820284,0.39675770633345026,2.203749895095825,success
stress_focused_ensemble,weighted_tfidf,0.7306338028169014,0.7306563967910978,0.730683522157458,0.7306338028169014,0.730064628386776,0.4600520733029473,2.7718210220336914,success
voting_soft,weighted_tfidf,0.7323943661971831,0.7319942381562099,0.732250668300878,0.7323943661971831,0.7306984837186179,0.4627794333591699,1.77783203125,success
linear_stacking,weighted_tfidf,0.7359154929577465,0.7360464872568746,0.7380031865716751,0.7359154929577465,0.7370121799652001,0.47355374739449085,0.08155608177185059,success
calibrated_rf,weighted_tfidf,0.7447183098591549,0.7446445021872029,0.7446123040831875,0.7447183098591549,0.7438354461844394,0.48795297506412366,0.5906460285186768,success
XGBoost,weighted_tfidf,0.7112676056338029,0.7114431224911967,0.7124826423328704,0.7112676056338029,0.7117822520507084,0.4230495446469016,1.476675033569336,success
LightGBM,weighted_tfidf,0.6971830985915493,0.6973070084424611,0.6995245744868257,0.6971830985915493,0.6983594332587622,0.39639384448912746,0.32587599754333496,success
